Name,Imported table,Total
Many,"Gloria H. Ruffin,Valmore Byles,Elizabeth A. Pickett,Stephen Beasley,Don M. Burkett,Guffey Lynn Pattison,Tammy Foster,Warren L. Founds,Rodney Hopkins,William Ruffin,James A. Buddy Veuleman,J. Randall Randy Veuleman,Roderick Davis,Denyse A. Williams,Mike Tarver,Earl Brandon,Jerry Johnson,Ken Freeman,Roger Freeman,Barbara Richardson Peterson,James D. Kennedy,Jeanetta Dean,John Hoagland,I.D. Wayne Bostian,Bradley Marr",25
Florien,"Randy Sandel,Bobby E. Williams,Carroll D. Ellzey,Dennis Downs,Kenneth Funderburk,Imon W. Jones,Jean Sharp,Richard Sharp,""Eddie Jones, Jr."",Herman Love,Georgia Jett,Suzanne Williams",12
Boyce,"Leona Venson,Ralph Gill,Joe Keith Nichols,Robert R.K. Beebe,Donald W. Welch,Elvin Lee Wren,E.C. Bobb,Randy Bond,Vivian R. Brossett,Cathy D. Fisher,Alma Scott Moore",11
Alexandria,"""Chris J. Roy, Jr."",Mary L. Wardsworth,Herbert B. Dixon,Chuck Tosten,Wayne Ryan,Karen Kay Haymon,Shannon James Gremillion,""Chris J. Roy, Jr."",Herbert B. Dixon,""George C. Metoyer, Jr."",Mary Lauve Doggett,John C. Davidson,Patricia Evans Koch,Harry F. Randow,James C. Jam Downs,Rosia G. Metoyer,""Chris J. Roy, Sr."",Mary L. Wardsworth,""Theodore Fountaine, III"",John Bradas,Kim P. Knight,Carolyn F. Ledet,Edan D. Moran,Wayne E. Ryan,Elizabeth Weber Levy,Cynthia M. Delaney,Chuck Tosten,Karen Kay Haymon,""Charles F. Chuck Wagner, Jr."",Carolyn Jones Ryland,""Francis Marion Brian, Jr."",""Theodore Fountaine, Jr."",Richard Gerald Vanderlick,Oliver Ollie Overton,Steve Coco,Richard W. Billings,""Scott Perry, Jr."",""Richard E. Starling, Jr."",James Byrd,Janet H. Dixon,""John E. Allen, Jr."",Paul Dauzat,Pam Webb,Jennifer Jenni Peterman,Vernon G. Mathews,Jacques M. Roy,Roosevelt L. Johnson,Myron K. Lawson,""Edward Larvadain, III"",Everett C. Hobbs,Jonathan D. Goins,Harry B. Silver,Chuck Fowler",53
Pineville,"Lauren Saucier Hill,Rick Farrar,""Edward L. Tarpley, Jr."",Edwin B. Jones,Thomas Tom Yeager,Terry Cooley,Richard E. Dick Lee,Helen W. Moore,Lauren Saucier Hill,Robert C. Anderson,Joe Bishop,Phillip Terrell,Larry W. Jeane,Steve Berry,E. L. Paulk,Edwin Bonial,Artie Cole,Clarence R. Fields,Mary Bishop Galloway,Kevin Dorn,Carol Jeukens VanMol,Thomas Tom Bouchie,Nathan Martin",23
Cottonport,"Joyce Laborde,Walter J. Laborde,Emeric Dupuy,Louie Laborde,Chris J. Lemoine,Robert J. Lemoine,Jason Bergeron,Cleveland Carmouche,Gerald Mayeux,Curtis Francisco,Margaret Jenkins,Kenneth Friels,Luke Welch,Brenda Moore Bazile",14
Baton Rouge,"Sharon Weston Broome,Trey Ourso,Aiesha Williams,Alfred Williams,Melvin Kip Holden,Karen Miller,Sharon Reine,Jesse H. Bankston,Avis Baker-White,Ben Jeffers,Lynn N. Bankston,Brandon DeCuir,Elizabeth Betty Powers,John Ales,Charlotte C. McDaniel McGehee,James M. Bernhard,Harold Williams,Dan Richey,Barbara Thomas,Scott Wilfong,Gene Guffey,Malcolm Richard,Ray Williams,Gail Dignam,Michael Chittom,Ted Baldwin,John J. Price,Erich Ponti,Tommy French,David Fakouri,Ryan Booth,Ellen Wray-Davis,Al Krotoski,Dan Kyle,Craig Lindsay,Bobby Jindal,Mitch Landrieu,Jay Dardenne,James D.Buddy Caldwell,John Neely Kennedy,Mike Strain,James J. Donelon,William Bill Cassidy,Bob Downing,Mike McDonald,John Michael Guidry,Jimmy Field,Charles E.Chas Roemer,Yvonne Dorsey,Sharon Weston Broome,Dan Claitor,Regina Ashford Barrow,Michael Jackson,Avon Honey,Clif Richardson,Hunter Greene,Patricia Smith,Steve Carter,Erich Ponti,Franklin J. Foil,Donald Don Johnson,Janice Clark,Trudy White,Bonnie Jackson,Wilson Fields,Todd Hernandez,Mike Erwin,Kay Bates,Louis R. Daniel,William Morvant,Tim Kelley,""Anthony J. Tony Marabella, Jr."",R. Michael Caldwell,Hillar Moore,John F. Fraiche,Lynn N. Bankston,Darlene Fields,""Donald Hodge, Jr."",Ben Jeffers,W. T. Winfield,Christopher R. Sonnier,Charles R. Kelly,Jesse H. Bankston,Mike Guy,James Ledford,Carolyn Coleman,Elizabeth Betty Powers,Brandon DeCuir,Jerry Arbour,Elizabeth Dent,""Fred Dent, Jr."",Tommy French,Dan Kyle,John J. Price,Harold Williams,Ramona Talley,William Kimbrell,Ron Findish,David Fakouri,Cyrus Greco,Sally A. Nungesser,Donna Grodner,Kathleen Stewart Richey,Pam Taylor Johnson,Lisa Woodruff-White,Toni Higginbotham,Pam Baker,Annette Lassalle,""Sid J. Gautreaux, III"",Doug Welborn,Brian Wilson,Shannon Cooper,Melvin Kip Holden,""Ulysses Z. Addison, Jr."",Chandler Loupe,Ronnie Edwards,Donna Collins-Lewis,C. Denise Marcelle,Mike Walker,Joel Boe,Tara Wicker,Alison Cascio,R.J. Smokie Bourgeois,Kelli Terrell Temple,Yvette M. Alexander,Laura Prosser Davis,Alex Brick Wall,Suzan S. Ponder,""Reginald R. Brown, Sr."",Derrick Spell,Vereta Lee,W. Marty Guilbeau,Darryl L. Robertson,Graydon David Walker,Tarvald Smith,Willard Will Easley,Jonathan C. Jay Augustine,W. T. Winfield,Noel Hammatt,Sharon W. Browning,Greg Baldwin,Jerry Arbour,Jill Dyason,William P. Bill Black,""Moses M. Evans, Jr."",Steven E. Sanders,Melva Cavanaugh,Donald Shelmire,Don Thompson,John D. Cormier,David L. Wade,""Shelton S. Mac Watts,"",""Louis DeJohn, Jr."",""Herman J. Bonnette, Sr.""",154
Leesville,"Laura Clark,Alton Bailey,Gene Haymon,Jack Causey,John Smith,James Armes,Vernon B. Clark,James R.Jim Mitchell,Asa Skinner,Alton Bailey,Aarlene Campion,Sharon Wilhelm,Sheri Wilhelm,""Sam Craft,"",""Willie Deon, Jr."",Shawn P. Granger,James B. Tuck,Jackie Grimes,Jerry Blair,Melvin Haymon,""Sam B. Fulton, Jr."",Curtis Clay,Joseph Bo Cryer,Kenny Haymon,""Elvin Fontenot, Jr."",Robert Pynes,Randi Schamerhorn Gleason,Mel Harris,""Robert Pynes, Jr."",Mark H. Smith,Steve Woods,W.R. Randy Martin,""Vernon Travis, Jr."",Kay Wilbanks,Arlene J. Cook,Bobby Hillman,Dan Atchison,R. G. Ronnie Hagan,Betty Westerchil,Alice Guess,Alice Upshaw Guess,Joe McKee,Carol Ma Carol Adams,Pat Martinez,Steve Kennedy,Danny Dowd,William Mike Elliott",47
Lafayette,"Gail Fazzio,Stephen Handwerk,Alexia Lexi Thompson,Frank Art Flynn,Beatrice Wilson,Joseph B. JB Cormier,Barbara J. Conner,John D. Bernhardt,""Ross Little, Jr."",""William P. Mills, III"",Charlie Buckels,Nicole Cockerham,Tracy Richardson,Sandy Gresham Hindelang,Normand Miller,W. Thomas Tom Angers,DeAnne Henke,Max Jordan,""Charles W. Boustany, Jr."",Sylvia R. Cooks,David Ellis Chatelain,Mike Michot,Nancy Landry,Page Cortez,Rickey Hardy,Joel C. Robideaux,Jules D. Edwards,David A. Blanchet,Thomas Duplantier,Marilyn C. Castle,Phyllis Montgomery Keaty,Michael Harson,""Alfred F. Boustany, II"",Jeff Moss,Wilfred Pierre,Mike Stagg,Jerilyn M. Hill,Lester Gauthier,Stephen Handwerk,John D. Bernhardt,Ken Bouillion,Glenn Armentor,Ernie Alexander,Stanley Tee Brosky,Ronald Ron Gomez,Judy F. Keller,Timothy Reynolds,Peggy Castille,W. Thomas Tom Angers,Charlie Buckels,Denice C. Skinner,C. Mark Gremillion,""Ross Little, Jr."",Mike Neustrom,Louis J. Perret,Conrad T. Comeaux,Kenneth L. Odinet,""L. J. Joey Durel, Jr."",""Joseph Jay Castille, Jr."",Brandon Shelvin,Kenneth P. Boudreaux,Sam Dore,Donald L. Don Bertrand,Keith J. Patin,Francie Bouillion,Douglas J. Saloom,Earl Nickey Picard,Shelton J. Cobb,Edward J. Sam,Greg Awbrey,Mark Cockerham,Hunter Beasley,Donald Don Garber,Weston J. Bruce Broussard,Darrell Menard,Allen Coach Conque,Terry J. Montoucet,John Bob Boudreaux",78
Oakdale,"Pat Jones,Craig Jones,William E. Bill Murry,Joel Davis,""Joe G. Abrusley, Jr."",Margaret E. Murry,Don Nesom,Betty Hayes,Buddy Farris,""John W. Strother, Jr."",Judi Abrusley,Chad Doyle,Alma W. Johnson,Cathy Farris,Bobby Odom,Andrew Hayes,Scotty LaBorde,""George Ashy, II"",Gwen Alsburry,John Matte,Robert Loman,Ralph Stapleton",22
